,DESCRICAO
31482,CONEXAO HIDRAULICA MATERIAL PVC TIPO LUVA SOLDAVEL E ROSCA APLIC. COR AZUL 32MM X 1 POL.
31483,VINAGREIRA
31484,"APRESUNTADO, TIPO CARNE SUINA"
31485,Luva Mista Zanel Vaqueta e Raspa com Reforco Punho 7cm
31486,ONU 1075 GLP 2.1 GLP GRANEL VENDA SGB
31487,"CABO ELÉTRICO FLEXIVEL TIPO PARALELO 2X1,5MM"
31488,ROLAMENTO DO ESTICADOR DA CORREIA DO ALTERNADOR
31489,LIAISON ANTI HBC IGM  50T
31490,EXPEDICOES GEO 7 ED3 0031P20052007IL
31491,LIV - DE OLHO NO FUTURO - PROJ INT - CIE DA NATUREZA - PNLD/21 - AL
31492,HORTIFRUTIGRANJEIROS/ABOBORA
31494,"BARRA CHATA, MATERIAL FERRO,FORMATO SECAO CHATO, BITOLA 1 1/4 X 5/16 POL, COMPRIMENTO 6M"
31495,Bomba de Infusao ST6000 Portugues
31496,BACON
31497,ARQUIVO BRAGAGNOLO PEQUENO 340 mm X 240 mm X 130 mm RECICL
31498,ALHO FRITO SUPER ALHO 1KG
31499,BATATA DOCE
31500,"TUBO FLEXIVEL, FABRICADO EM PLASTICO PVC, NAO REFORCADO E NEM ASSOCIADO A OUTRAS MATERIAS, COMPOSTO DE ACESSOR"
31501,"CAIXA EMBALAGEM, MATERIAL PAPELÃO DUPLO, COMPRIMENTO 600MM, LARGURA 500MM, ALTURA 400MM, COR PARDA, COM 4 ABAS ..."
31502,"BARRA(PENTE) TRIPOLAR 12POLOS 22,5CM P/DISJUNTOR"
31503,CONEXOES CHSA CIE 0192P21204133IM
31504,LUVA PROC NAO CIRURG COM PO P DESCARPACK CX20CT /DESCARPACK
31505,"PECA MECANICA DE MOVIMENTO, FABRICADA EM ACO, RESPONSAVEL PELO MOVIMENTO HORIZONTAL DO ARCO-C, PROPRIA PARA SE"
31506,FARINHA DE TRIGO
31507,SERRA RECIPROCANTE ORTOPEDICA GDP-III
31508,PARAFUSO ESPONJOSO 6.5 MM 30 MM 203065301
31509,PARAFUSO LOCKING 2.0X16MM
31510,CORREIA DOS ROLOS DE TRANSPORTE
31511,"REDIRECIONADOR DE FIO GUIA,.80804050079 RMS.80804050079"
31512,SACO P/LIXO 60L VERMELHO 3M 55X69 PRAPESO C/100UN
31513,OLEO DE MOTOR
31514,BACIA DE CONTENCAO PARA TANQUE DE 250L
31515,"TOMADA DUPLA 2P +T  10A 250V, SISTEMA 'X', DE SOBREPOR, EM PLASTICO ISOLANTE N A COR BRANCA, CERTIFICADO PELO INMETRO"
31516,LIXA DISCO GRAO 60
31518,MANUSEIO/PERSO-CARTAO HIDRIDO IDENTIDADE DA MARINHA DO BRASIL C/CHIP
31519,CEBOLA
31520,DTMB2D4 -CRT-D AMPLIA MRI DTMB2D4 DF4 SURESCAN
31521,1020-3240 #PROVA DE COLO ACCOLADE 40MM 132
31522,couve flor
31523,PAPEL TOALHA Interfolhado 2400
31524,CIPROFLOXACINO 2MG/ML BOLSA 200ML
31525,PONT RESSEC ENDO RETA FULL RAD
31526,PLACA EM T RETA BLOQUEADA 02X04 FUROS ACO 21A001838
31527,CHOC. NESTLE ALPINO 41  SMOOTH  BR   85G
31528,MORANGO
31529,FEIJAO CARIOCA
31530,GAS R-134 AR CONDICIONADO
31532,"PRINCIPIOS DA MECANICA DOS SOLOS E FUNDACOES PARA A CONSTRUCAO CIVIL - BLUCHER EAN=9788521210696, ISBN=8521210698"
31533,PARAFUSO CORTICAL 2.7X28 MM S/L
31534,FREZA CANULADA 12MM
31535,Mangueira do Reservatorio ao Tubo do Radiador
31536,FILTRO AR
31537,VALVULA
31538,"KIT GALPÃO PAVILHÃO PNR PRÉ-FABRICADO  TERMOACUSTICO. DIMENSÕES 6,40x9,80"
31539,DISCO FREIO DIANTEIRO
31540,RÚCULA
31541,HID CALC HYDRO C 13G 11G DENTSPLY
31542,CIM RESINOSO DUAL RELYX U200 11G A2 3M
31543,AGUA SANITARIA 1L
31544,SULFATO FERROSO 125MG/ML 30ML GTS SULFERMAX CX 100FR
31545,VALVULA MITRAL BIOLOGICA 29  - BRAILE BIOMEDICA - REG ANVISA 10159030026
31546,TORN 1193 LAVATORIO C23
31547,Maca kg
31548,ALCA DE INOCULACAO 10UL PONTA AGULHA ESTERIL PCT C/20UN
31549,CASTANHA DE CAJU TORRADA 50G AZ
31550,TAMPO INFERIOR LISO 840 X 988
31551,"GUIA DE LONA 1,50 M (DROGHETTI)"
31552,MOD PLUS A LING EXPR 0172P21201138IL
31553,TIMCHIP PLANO POS TRIPLO 4G HLR 460
31554,Papel A4 NAT 210x297mm 75g PCT 500fls
31555,Hexano P.A. 1000 mL Lt:63117 Vl:10/05/27
31556,TONER KYOCERA CYANO P/ M6230
31557,"0062L20604025IM CHICA, SINHA!EDITORA: UNIVERSO DOS LIVROS EDITORA LTDAPAG.: 192"
31558,"ANALISE DE SISTEMAS, TECNOCRACIA E DEMOCRACIA"
31559,CARNE FRANGO FILE DE PEITO NATURAVES KG
31560,OLEO DIESEL B S10
31561,5532-T-319A #MODIFIED HOLLOW PS TIBIAL INSERT TRIAL #3 - 19MM
31562,"ALVO DE TIRO, MATERIAL PAPEL CARTAO, TIPO QUADRADO, TAMANHO 20 X 20 CM, CARACTERISTICAS ADICIONAIS SILHUETA PRETA."
31563,BIOVUE IGG 100
31564,COUVE FLOR CONGELADA  KG (ATI)
31565,HORTIFRUTIGRANJEIROS/ALFACE
31566,"CUBETA 10mm CAM. OPTICO EM VIDRO OTICO 3,5ml PRO-ANALISE TAMPA TEFLON 340-2500nm DIM. 45x12,5x12,5mm JANELA 10mm"
31567,"MEYER, Stephenie. A hospedeira"
31568,Caixa de Som Portatil Multilaser Mega SP348 - 30W
31569,CORRETIVO LIQUIDO MATERIAL BASE DE AGUA FRASCO C/18 ML
31570,BATATA DOCE
31571,BISC.MARILAN CRACKER 27/350G
31572,Filtro de Papel Melitta No103 30UN
31573,SALSICHA FRESCA
31576,COLHER SOBREMESA VANGUARD 15CM 1.2MM GP418
31577,PRATICAS COMENTADAS PARA INSPIRAR
31578,AGULHA DE REPOSICAO PARA FIRST
31579,KIT_VIDA CRIANCA - MATEMATICA - 2o E 3o ANO_PR
31580,LIMAO TAITI
31581,SAL REFINADO
31582,SAL REFINADO
31583,PINCA APREENSAO 5MM ENDO CLINCH II GRASPER
31584,DVEAF35 - DERIVACAO VENTRICULAR EXTERNA FREE FLOW
31585,CICLO ALCOOL HIDRATADO CX 04 GL
31586,FITA VEDA ROSCA 18MM X 10M
31587,Mamão formosa
31588,TAPIOCA C/ 500 G
31589,OLEO DE SOJA 900ML
31590,PNLD2021 MULT CIENC NAT - VOL2 - MOV E EQUILIB NA NAT - AL - L 0221P21203134IL
31591,ACIDO CLORIDRICO 37% PA ACS 1000ML NEON COD. 02618 *PRODUTO CONTROLADO PELA POLICIA FEDERAL*
31592,"Etiqueta Adesiva Aquattro 99,1mmX67,7mm PCT 100fls"
31593,OLEO MOTOR 15W40
31594,FILTRO DE AR
31595,COMP TIB POLIET  (E/4-6)20RHK
31596,DEMEDROX 150MG/ML SUS INJ 1AMP (M.S.)
31598,"DISJUNTOR BAIXA TENSAO, FUNCIONAMENTO TERMOMAGNETICO, NUMERO POLOS 1, CORRENTE NOMINAL 16 A"
31601,Canula para Litotripsia para Swiss Lithoclast Trilogy FR-248 3.4 x 445mm
31602,"TROCADOR DE FIO - PASSA FIO ATE 3,2"
31603,"ALMOFARIZ(GRAL)DE PORCELANA COM PISTILO,CAP.DE 4.000 A 44.200ML C/LUVA DE BORRACHA P/RECOBRIR O CABO"
31604,BISCOITO LEITE
31605,DESODORIZADOR
31606,PARAF.CANUL DE COMPR.DE ROSCA PARCIAL 07.3x32x120mm
31607,DIESEL S10
31608,"DISJUNTOR eletrico, bipolar, baixa tensao, 32 A, 220V, frequencia 50/60 Hz, curva C, padrao DIN"
31609,HORTIFRUTICOLA BANANA MARMELO FRESCA KG PRODUTOR/EXTRATOR
31610,"Papel A4 Go Office alcalino, 75gr, dimensao 210x297mm. Pacote com 500 folhas. O papel Go Office Multiuso e pratico para"
31611,PLACA VEICULO
31612,CICLO DIESEL
31613,BRINQUEDO / JOGOS DIDATICOS
31615,Abóbora ou jerimum
31616,"MOTOBOMBA FSG-IN T4,0CV-140MM-AL-220/380V-2P-R-60HZ-IP21-IR3-GCB-VM"
31617,PARAFUSO DE BLOQUEIO PBA 03.5x55mm
31618,FIO GUIA 01.0 x 127.0mm
31620,QUEIJO DE COALHO
31621,"TESOURA AÇO INOXIDAVEL MATERIAL CABO POLIPROPILENO, COMPRIMENTO 20 CM-BRW"
31622,COPO DESCARTAVEL 50ML
31623,FILTRO DE AR TORO
31624,AGUA MIN. C/ GAS 510 ML (CLA)
31625,ADAPTADOR SOLDAVEL ROSCAVEL 25X3/4
31626,Melancia
31627,"UND.EXTERNA UNIVERSAL,36K,F,220V DCR"
31628,CAIXA PLASTICA MULTIUSO-
31629,"LAMINA DE SHAVER PARTES MOLES CMA 04,5 X 120MM LOTE:0240D22     MS: 80777280124"
31630,FERMENTO PO QUIMICO 100 GR
31631,MELAO
31632,JUNTA CABECOTE DO MOTOR
31633,ONU 1075 GLP 2.1 GLP GRANEL VENDA SGB
31634,SUPERGRAUTE SIKA GRAUTE 250 SC.25KG SIKA
31635,CREATININA ENZIMATICA 127-2/72ML (LABTEST)
31636,2023 - BECOME 7 ANO
31637,"VUEPOINT II PROBE, GEARSHIFT STRAIGHT"
31638,ALECRIM 6G
31639,REAGENTE ANALITICO 2 REAGENTE CONJUNTO DE REAGENTES
31640,BUCHO BOVINO
31641,PARAFUSO DE INTERFERENCIA BIO-
31642,JOELHO 90 ESG 75 FORTLEV
31643,"ETIQUETA P/ IMPRESSORA ZEBRA 4,5CM X 7,5CM ROLO COM 1000 UN."
31644,Escrever na universidade 3: Gramatica do periodo e da coordenacao
31645,LUVA NITRICA C
31646,"AGUA MINERAL NATURAL, TIPO SEM GAS, MATERIAL EMBALAGEM PLASTICO, TIPOEMBALAGEM DESCARTAVEL"
31647,REGUA PLASTICA 30CM.
31648,SABONETE JANGADA ERVA DOCE 5L
31649,QUEIJO RICOTA C/ APROX 500G
31650,BOMBA AGILIA VP MC BR  BR019640
31651,259-01 - IMPACTOR HASTE COM PONTEIRA POLI
31652,PARAFUSO DE BLOQUEIO 03.9x32mm
31653,Pepino Kg
31654,PAPEL TOALHA INT 2D 2000 FOLHAS
31656,DESINFETANTE FLORAL BUTTERFLY AUDAX 5L
31657,"DPS-10-PIPETA SOROLOGICA 10 ML,ESTERIL, LIVRE DNASE RNASE-EMB.INDIVIDUALMENTE -PED:2022NE547"
31658,BEYOND WORDS 7 0352P20092007IL
31659,GELO EM CUBOS
31660,"CJ PNLD 2023 COLECAO ENTRELACOS VOL 1,2,3 POR EFAI PROF Material devera ser Shir"
31661,5532G319 #MODELO TRIATHLON PS X3 TAM. 3 19 MM
31662,POTE REDONDO DESCARTAVEL 200 ML 100X1
31663,CHAPA DE VIDRO
31664,. Meio Lowenstein Jensen apresentacao solido inclinado 16x150mm Plast La Anvisa: 80035670010
31665,HORTIFRUTIGRANJEIROS/MAMAO
31666,5530-T-711A #MODIFIED HOLLOW CR TIBIAL INSERT TRIAL #7 - 11MM
31667,MILHO VERDE
31668,JOGO DE SAPATA DE FREIO
31669,7231032D #TRIDENT X3 10 INSERT 32D 7231032D
31670,VERGALHACO BARRA DE FERRO 3/8 COM 12MM
31671,BATERIA 60AH
31672,CORREIA AR CONDICIONADO
31673,PACOM DPF NOVO BRASAO - PROMASP
31675,CILINDRO DE RODA LADO DIREITO
31676,1.36.35.03.19.030 - PARAFUSO CORTICAL O 3.5 X 30.0 MM COM SEXTAVADO TITANIO
31677,PALHETA LIMPADOR PARABRISA
31678,CHAVE HEXAGONAL PARA USO 2.7MM V7999047
31679,0340L20603024IM_Minha querida assombracao (Professor)
31680,"Q622315 #MARTELO EXTRATOR 9,5 Q622315"
31681,GELATINA EM PO DE FRAMBOESA SACO 1 KG
31682,BURITI MAIS HIS 1 0069P19041001IL
31683,POSTE PADRAO
31684,MUDA DE PLANTA PAU BRASIL
31685,CABO DE VIDEO GRAVADOR DE DVD
31688,SORVETE SLOOP CREME 2LIT - 7898279710095
31689,PAO DE COCO
31690,PAR DE PLACA
31691,"CLOPAM 0,5mg Com 20bl X 10"
31692,BISTURI N.20 DESCARTAVEL ESTERIL COM CABO PLASTICO JA ACOPLADO A LAMINA EM ACO INOXIDAVEL E ESTERILIZADO. EMBALADAS INDI
31693,CARGA GLP 1KG
31694,VINAGRE DE MACA 500ML
31695,PERA RED
31696,METANOL LICHROSOLV 4 L
31697,TOMATE IN NATURA
31698,02.00.20.012.0 - PARAFUSO CANULADO M.M TITANFIX 2.0 MM X 12 MM ROSCA PARCIAL EM TITANIO
31700,Acelga Kg
31701,"CJ PNLD 2023 COLECAO ENTRELACOS VOL 1,3 POR EFAI PROF 0126P23010 - M 0126P23010"
31702,Massa corrida;
31703,QUEROSENE DE AVIACAO JET A
31704,CAPACITOR 03 MFD 380V
31705,FIO DENTAL EMB 100MTS
31706,PIVO SUSPENSÃO DIANTEIRA (LE / LD)
31707,BOOKMA - MANUAL DE ERGONOMIA - ADAPTANDO O TRABALHANDO AO H NF 15697 06/04/22
31708,CANJICA GRUPO MISTURADA CLASSE AMARELA TIPO 3 NAO TRNSGENIC
31709,TEMPERO COMPLETO TRADICIONAL 300 GR
31710,"CALDO MUELLER HINTON 2, PARA MICROBIOLOG"
31711,JANTAR
31712,381000495 ADAPTADOR DE IMPACTO 12 X 3
31713,R3 ACT LNR XLPE20 36X54MM
31714,HORTIFRUTIGRANJEIROS/COENTRO
31715,AZEITONA PRETA S/CAROCO 160GR
31716,OLEO DIESEL MARITIMO A
31717,MELANCIA
31718,DETERG LIQ ASTRO 5L
31719,FITA ADESIVA 19X50 TRANSP. FITIPEL
31720,SABONETE LIQUIDO
31721,CLUB SOCIAL
31722,FILTRO COMBUSTIVEL HILUX 3.0 16V. TDI 163 CV D-4D
31723,"ETIQUETA INKJET CT 279,4X215,9 C/100 FLS"
31724,"Bandeirinha de mesa  do BRASIL,  bordada em cetim, medindo 14x20 cm ,com suporte de madeira,"
31725,OLEO DIESEL B S10
31726,PILHA ALCALINA AAA PALITO CART 2P RAYO
31727,2102-0438 #RASPA ACETABULAR 38 MM
31728,HORTIFRUTIGRANJEIROS/FEIJAO
31729,SUCO EM PO LARANJA 1 KG
31730,FILTRO AR
31732,REFLETOR BIVOLT SLIM 50W 3000 AVANT
31733,GEN GUANABARA KOOGAN | EMBRIOLOGIA BASICA | ED: 92016
31734,DEXCLORFENIRAMINA+FENILEDRINA+CAFEINA+AAS
31735,Papel Chamex A4 Office 210x297mm 75gr pct 500 fls
31736,FLUIDO DE FREIO VARGA COMP. OLEO DOT 4 500ML CX20/
31737,ALICATE UNIVERSAL
31738,PE SUINO SALGADO KG
31739,"SUPORTE DE ACO GALVANIZADO DE 3'X3,50M, INCLUINDO ACESSORIOS PARA FIXACAO"
31740,BETERRABA
31741,DIMEN+PIRID 50MG/ML IM 1ML CX C/50 (UNIAO)
31742,CAIXA PGA
31743,LIVRO PROTOCOLO 1/4 100FLS.
31746,COPO VIDRO 300 ML
31747,HASTE FEM N CIM LATERAL TI/CAP T7 TRIFIT TS - Lote:416797 - Valid:21/05/2024 - Anvisa:80346180002 - Ref.: 694.1007
31748,Trincha Media Cabo Preto 1' 301-003
31749,PORCA
31750,PACOM DPF NOVO BRASAO - PROMASP
31751,"VICRYL VIOLETA 6-0, 45CM, 02 AGULHAS 6,5MM, 1/4 CIRCULO ESPATULA"
31752,AD-0035 PARAFUSO FHC M16X40X40 A4L-80
31753,DESINFETANTE FLORAL
31754,00000000002468 PAO DOCE COM COBERTURA DE COCO FLOCADO
31755,BANANA PRATA
31756,"SALAME,TIPO ITALIANO"
31757,Botina Marluvas 95B19BP Preta Elastico Bico Plastico 38
31758,LIV - CAMINHAR E CONSTRUIR - PROJ DE VIDA - PNLD/21 - AL
31759,LIV - DA ESCOLA PARA O MUNDO - CIENCIAS - 4o ANO PNLD 2023 AL
31760,OLEO MOTOR
31761,"SACOLA, PERSONALIZADA."
31762,LINGUICA TOSCANA NUTRIBRAS KG
31763,BOMBINHA RESERV LIMPADOR
31764,PACOM DPF NOVO BRASAO - PROMASP
31765,"MACA FUJI , NATURAL"
31766,HORTIFRUTIGRANJEIROS/CEBOLINHA
31767,Tesoura Multiuso Lyke 21cm Cabo Emborrachado
31768,TRINCHA P/ PINTURA 2.1/2
31769,FILE COXA SOBRECOXA SEM PELE SEM OSSO CONG
31770,"ARTE DA PRUDENCIA, A - POCKET"
31771,MELAO AMARELO
31772,ABACAXI
31773,BSELLE - ORGASMOS - COMO CHEGAR LA - HARE 1 Ed 2010 NF 8824 09/03/22
31774,BUR MAIA G4 ED2 0034P23050004LE
31775,"Coalhada integral, un. com 120g."
31776,ADESIVO PLASTICO PVC FRASCO 175G INCOLOR
31777,6541-5-71 # 6 PS GUIA DE CORTE CAIXA FEMURAL
31778,SACO ALVEJADO ITATEX 43X63CM/70G
31779,"REGISTRO PRESSAO, MATERIAL PVC, DIAMETRO 25 MM, TIPO SOLDAVEL, APLICACAO INSTALACAO HIDRAULICA"
31780,CLOREXIDINA 5% ALCOOLICA - 100 ML FR
31781,HORTIFRUTIGRANJEIROS/TAIOBA
31782,"PIPETADOR MANUAL DE BORRACHA TIPO PERA,DIAM.6,5MM"
31783,HOMEPUMP C-SERIES 270ML 5ML/H 2 DIAS- LOTE:20075397  - DT.VALID:07/03/2024- DT.FABR:07/09/2021
31784,PARAFUSO DE BLOQUEIO PBA 05.0x48mm
31785,HORTIFRUTIGRANJEIROS/PIMENTAO
31786,AIPIM
31787,"40120000300 - PARAFUSO MALEOLAR 4,5 30 MM"
31788,Nitrogenio Liq Caminhao Tanque .
31789,MONITOR LED 23.8 PT WIDE 24P1U
31790,"Amostra de tubo meia cana 50x27,31x2,024"
31791,INTERRUPTOR DIFERENCIAL DR BIPOLAR 63A 30MA RES
31792,SILENCIADOR ESCAPAMENTO
31793,FITA VEDA-ROSCA 18MMX25M   REF: 54501900 - TIGRE ROSCAVEL
31794,LONA FREIO 2080T
31795,VINAGRE MACA REGINA 500ML
31796,CARIMBO AUTOMATICO 59X23MM
31797,"PLACA PETRI DE VIDRO,DIMENSOES CERCA DE  90X15MM"
31798,CONTROLE LIQUICHECK URINA N1/N2 (12 FRS)
31799,MANDIOCA
31801,VELA IGNICAO STIHL NGK BPMR7A 00004007000
31802,SERPETINA DE COBRE  PARA MAQUINA 15 TR
31803,QUEIJO PRATO
31805,PACOM DPF NOVO BRASAO - PROMASP
31806,BANANA PRATA IN NATURA
31807,PROVA DE CAB. FEMORAL CONE 12/14 DIA.40MM EG - Lote: 201490668I
31808,NOVO BEM-ME-QUER MATEMATICA F1 4 2019
31809,FARINHA TRIGO TIPO 1 5KG
31810,FITA ISOLANTE
31811,EUP2525X -Cateter Balao Semi-Complacente EUPHORA 25mm x 25mm
31812,Regua Plastica Maxcril Cristal 30cm
31813,ARROZ LONGO FINO BENEFICIADO TIPO 1 - ACOND.: F - EANTrib.: 7896546112252
31814,ACIDOS GRAXOS ESSENCIAIS 200 ML (AGE) NUTRIEX DERMAEX
31815,LIMAO
31816,KIT LUBRIFICACAO N 03
31817,ROLO LA SINTETICA 09CM COM CABO
31818,ARROZ LONGO FINO BENEFICIADO TIPO 1 - ACOND.: P - EANTrib.: 7896546112252
31819,DISCO TACOGRAFO
31820,ACESS DE VEICULO ANEIS DE PISTAO - SEALED POWER - E-252X VINTAGE
31821,CREME DE LEITE 200G
31822,"VINHO ESCORIHUELA GASCON. MALBEC, 2017, 750 ML CX 02"
31823,Teclado PS2 Multilaser TC225
31824,Bujao Carter
31825,MANIPULADOR UTERINO DES.TAIMIN - 38X323MM - TIPO VCARE
31826,PACOM DPF NOVO BRASAO - PROMASP
31827,GASOLINA COMUM
31828,DEJEJUM DIETA ESPECIAL LIQUIDA
31829,TUBO DE INJECAO 3 CIL
31830,"AGULHA 25X0,80MM (21GX1) 100UN MEDIX"
31832,PNLD 2022 - Estacao Crianca - MP - Pre-escola - VU
31833,PALAVRAS DE LING SUAS TECN_V3
31834,JOGO DE CABO VELAS
31835,GRAMPEADOR
31836,TOMATE
31837,CHUCHU
31839,ESCOVA DE ROBSON CONICA.
31840,"Anatomia da Melancolia, A - Vol.3 - A Segunda Particao - A Cura da Melancolia"
31841,10921 F1 SABO - JUNTA CANO
31842,TE SOLDAVEL 25MM
31843,QUEIJO MUÇARELA
31844,FREZA CANULADA 8MM
31845,"CJ PNLD 2023 COLECAO ENTRELACOS VOL 1,2,5 POR EFAI PROF 0126P23010 - M 0126P23010"
31846,"CAP/TAMPÃO EM PVC RÍGIDO INJETADO, JUNTA SOLDÁVEL, PARA TUBULAÇÃO DE ÁGUA, BITOLA 25 MM"
31847,RALADOR DE MANDIOCAS BAIXO BOTINI
31848,ESPANADOR PO BOMPACK 40CM
31849,Geografia Espaco & Interacao - 9o ano - PNLD2020 - L 0378P20052009IL
31850,BOTAO ACIONAMENTO BUZINA
31851,Pilha Alcalina Duracell Palito AAA 2UN
31852,CABO EMPUNHADURA RETO COM CONTROLE MANUAL
31853,ROLDANA V 2'' C/ SUPORTE
31854,"ACETONITRILA HPLC/UV 99,9%  - RISCO 33 ONU 1648 CLASSE 3-II"
31855,SONDA DE TEMPERATURA DO ÓLEO - SN: 2828
31856,BASE 3 PINOS P/ RELE FOTOCELULA GTIN 7899463140063
31857,MASCARA TRIPLA TNT BRANCA C/ELASTICO K-DU C/50UN
31858,"Tubo para coleta de amostra biologica, material plastico, volume 4,5ml, componentes com citrato de sodio 3,2%, uso colet"
31859,PASTA SUSPENSA KRAFT PARDO - ICL
31860,TEBUTIURON NORTOX
31861,CANETA ESF. BIC MEDIA UND AZUL
31862,CANETA ESFEROGRAFICA
31864,PARAFUSO NAO LOCKING 2.3X16MM            RA: 80094170071 LT: 011520
31866,338624 #PARAF ACO SPS CORTIT 03.5 X 24
31867,KCL GRANULADO NPK 00-00-60 EP RS-003316-2 000040
31868,PERA KG
31869,GUIA TALAR ANTERIOR TAM 1
31870,Webcam Video Chamada Go Tech Office HD 720P
31871,FILTRO DE AR HILUX
31872,FILTRO DE OLEO
31873,HORTIFRUTIGRANJEIROS/SALSA
31875,DIESEL S10
31876,RECADO AUTO ADESIVO 38X50MM C/ 100 FLS
31877,JET A NAO TABELADO - LI
31878,REFEICAO
31879,Valvula Americana 3.1/2' Pia Cozinha
31880,KIT C/4 REFIL TINTA COMP. CANON G3111 - G-190 BK/C/M/Y - PRETO/CIANO/MAGENTA/AMARELO
31881,PORCA
31882,BORRACHAS DE VEDACAO
31883,FILTRO LUBRIFICANTE (MARCA: WEGA)
31884,COMP FEM LPS-FLEX OPT  DIR TAM  F
31885,TELHA ZINC 100X6M
31886,CENOURACLASSIFICACAO SEM CARACTERISTICAS
31887,AGUA MINERAL NATURAL 20L
31888,PIMENTAO VERMELHO
31889,2023 - HISTORIA SOCIEDADE E CIDADANIA 7 ANO
31890,FORTICARE LARANJA/LIMAO (4XPB125ML) - DANONE MEDICAL
31891,MUDAS NATIVAS 1
31892,CRONOMETRO PROFISSIONAL VOLLO
31893,BETERRABA
31894,"GUIA DE BROCA DUPLO INTERFRAGMENTARIO 02,4/1,8mm"
31895,ALFACE LISA
31896,PLACA RETA LOCK  4 FUROS COM GAP LONGO   RA: 80094170076 LT: 972980
31897,VALVULA RODA COM PNEUMATICO
31898,ABRAÇADEIRA PLÁSTICA 220MM C/100
31899,PILHA GRANDE
31900,KIT AMORT. DIANT. LOGAN SANDERO DUSTER : MB6705
31901,CONSERVA DE CEBOLA - (VIDRO - 3KG)
31902,"ALFACE ALFACES REPOLHUDAS,FRESCAS OU REFRIGERADAS"
31903,OLEO DIESEL B S10 ADITIVADO
31905,Direito a Terra Indigena - 2ª Ed. - 2022
31906,COUVE FOLHA
31907,DESENGRAXANTE E LIMPA FREIO
31908,Pale Ale Maris Otter
31911,"LAMINA DE SHAVER PARTES MOLES CMA 04,5 X 120MM LOTE:0387E22     MS: 80777280124"
31912,"1X TQJ230 80MG/ PLACEBO 0,8ML-NOVARTIS - RAND"
31913,TUBO DE RAIOX PERFORMIX CJ64 UTILIZADO EM  EQUIPAMENTO DE TOMOGRAFIA COMPUTADORIZADA
31914,LIV_ESTACOES LINGUA PORTUGUESA: ROTAS DE ATUACAO SOCIAL_PNLD AL
31915,"SUCO, APRESENTAÇÃO EM PÓ, SABOR MANGA."
31916,ISQUEIRO BIC MAXI   CARTELA C 12UND
31917,ORTOLOCK FEMORAL CANULADO 10X380MM           - Lote: 20A003411
31918,HORTIFRUTIGRANJEIROS/GOIABA
31919,CARNE DE OVINO
31920,AVENTAL TNT BRANCO MANGA LONGA K-DU C/10UN R-9145
31921,"ACETONA P.A. (ACS) 99,5% POL.FEDERAL Embalagem :05L"
31922,MOTOR DE PARTIDA 12V
31923,"PARAFUSO CORTICAL DE BLOQUEIO, ANGULO FIXO , 5.0X32.5M"
31924,19602000E #MARTELO COMBINADO
31925,BETERRABA KG CEASA
31926,LUTANDO NA ESPANHA
31927,CATETER BALAO DIL CORON WILMA NC 4.00X15
31928,SALSICHA
31930,GAS R134 AR CONDICIONADO
31931,CEBOLA KG CEASA
31932,TRANSFORMADOR DE CORRENTE 100/5A
31934,COLA CIRURGICA SINTETICA GLUBRAN 2 - 1ML
31935,OVOS BRANCOS 1ª C/ 30
31936,LUBRIFICANTE DESINGRIPANTE WD-40 300ML / 4 Volume(s)
31937,Repolho Verde Kg
31938,PASTILHA SANITARIA 35G
31939,CAT. BAL ULTRAVERSE 0.35PTA/130X3.0X120
31940,NTLH063LG-LUZ: ED COMEMORATIVA 60 ANOS LUZ AMAZ CP DURA IMPRE
31941,REPOLHO VERDE
31942,DISTINTIVO DE BOLSO MASCULINO
31943,REQUEIJAO
31945,FRUTA IN NATURA BANANA
31946,OXIDO DE ZINCO 50G
31947,FRIGIDEIRA 20 ESSENCIAL 58420
31948,Refeição - Jantar
31949,NEEDS COL UNIVERS 70ML
31950,CONECTOR COM FURO CENTRAL - Lote:V18376425 - Valid:31/12/2049 - Anvisa:80046530008 - Ref.: 2228
31951,"UNDECANO, 99% (HIDROCARBONETO)"
31952,TECLADO E MOUSE KIT LOGITECH WIRELESS MK235 PRETO
31953,Papel A4 NAT 210x297mm 75g PCT 500fls
31954,QUEIJO MINAS FRESCAL
31955,CARREGADOR DE PILHA MOX
31956,PAO DE QUEIJO KG
31957,801-08-01 - TAMPA DE PARAFUSO DE BLOQUEIO
31959,FITA ADESIVA PVC 45MMX100M MARROM
31960,JANTAR UNIVERSITARIO
31962,OVOS DE GALINHA DZ
31963,MANDIOCA
31964,LAMPADA FAROL
31965,CROMOCLIN US-AGAR-20mL-PL 90X15-PC 10PL
31966,SAM GRANULADO NPK 21-00-00 EP RS-003316-2 000052
31967,BURITI MAIS CIE 1 0088P19031001IL
31968,COMP TIB POL LPSFLEX EF 5-6 20MM
31969,JOELHO 90o SOLDAVEL 32MM
31970,Amendoim Japones 500G
31971,TONER TK-1175 VRI - M2640 - C03/04 (S)
31972,B MARILAN P.STOP SNACK 20X80 QUEIJO PROVOL (437)
31973,JOELHO 45 SOLDAVEL BITOLA 20 MM
31974,LIVRO SP CI HU SOC AP POLI LA PNLD21 OB2
31975,INOVACAO NA PRATICA - ALTABOOKS
31976,REQUEIJAO CREMOSO TRADICIONAL C/ 200 G
31977,SELADOR E DIVISOR LAPAROSCOPICO DESCARTAVEL 37CM 5MM
31978,FILTRO ANTI POLEN NISSAN
